drugId,targetId,smiles,prefName
CHEMBL1639,ENSG00000143839,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC,ALISKIREN
CHEMBL1642,ENSG00000097007,CS(=O)(=O)O.Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,IMATINIB MESYLATE
CHEMBL1642,ENSG00000113721,CS(=O)(=O)O.Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,IMATINIB MESYLATE
CHEMBL1642,ENSG00000157404,CS(=O)(=O)O.Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,IMATINIB MESYLATE
CHEMBL1642,ENSG00000186716,CS(=O)(=O)O.Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,IMATINIB MESYLATE
CHEMBL1643,ENSG00000106348,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,RIBAVIRIN
CHEMBL1648,ENSG00000081248,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12,ISRADIPINE
CHEMBL1648,ENSG00000102001,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12,ISRADIPINE
CHEMBL1648,ENSG00000151067,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12,ISRADIPINE
CHEMBL1648,ENSG00000157388,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12,ISRADIPINE
CHEMBL1650,ENSG00000113580,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@@]21C,CORTISONE ACETATE
CHEMBL1654,ENSG00000160752,O=P([O-])(O)C(O)(Cc1cccnc1)P(=O)(O)O.[Na+],RISEDRONATE SODIUM
CHEMBL1657,ENSG00000077092,CCOC(=O)c1ccc(C#Cc2ccc3c(c2)C(C)(C)CCS3)nc1,TAZAROTENE
CHEMBL1657,ENSG00000131759,CCOC(=O)c1ccc(C#Cc2ccc3c(c2)C(C)(C)CCS3)nc1,TAZAROTENE
CHEMBL1657,ENSG00000172819,CCOC(=O)c1ccc(C#Cc2ccc3c(c2)C(C)(C)CCS3)nc1,TAZAROTENE
CHEMBL1659,ENSG00000196639,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1.O=C(O)/C=C\C(=O)O,CHLORPHENIRAMINE MALEATE
CHEMBL1668,ENSG00000165646,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,RESCINNAMINE
CHEMBL1670,ENSG00000140459,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,MITOTANE
CHEMBL1670,ENSG00000160882,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,MITOTANE
CHEMBL1671,ENSG00000043591,CC(C)NCC(O)COc1cccc2ccccc12.Cl,PROPRANOLOL HYDROCHLORIDE
CHEMBL1671,ENSG00000169252,CC(C)NCC(O)COc1cccc2ccccc12.Cl,PROPRANOLOL HYDROCHLORIDE
CHEMBL1676,ENSG00000113580,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)SCF,FLUTICASONE FUROATE
CHEMBL1678,ENSG00000087085,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2.Cl,DONEPEZIL HYDROCHLORIDE
CHEMBL1683,ENSG00000113580,CCCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,HYDROCORTISONE BUTYRATE
CHEMBL1683544,ENSG00000101162,C=C1C[C@@H]2CC[C@@]34C[C@H]5O[C@H]6[C@@H](O3)[C@H]3O[C@H](CC[C@@H]3O[C@H]6[C@H]5O4)CC(=O)C[C@@H]3[C@@H](OC)[C@@H](C[C@H](O)CN)O[C@H]3C[C@H]3O[C@@H](CC[C@@H]1O2)C[C@@H](C)C3=C.CS(=O)(=O)O,ERIBULIN MESYLATE
CHEMBL1683544,ENSG00000104833,C=C1C[C@@H]2CC[C@@]34C[C@H]5O[C@H]6[C@@H](O3)[C@H]3O[C@H](CC[C@@H]3O[C@H]6[C@H]5O4)CC(=O)C[C@@H]3[C@@H](OC)[C@@H](C[C@H](O)CN)O[C@H]3C[C@H]3O[C@@H](CC[C@@H]1O2)C[C@@H](C)C3=C.CS(=O)(=O)O,ERIBULIN MESYLATE
