drugId,targetId,smiles,prefName
CHEMBL535,ENSG00000182578,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,SUNITINIB
CHEMBL546,ENSG00000169252,C=CCOc1ccccc1OCC(O)CNC(C)C,OXPRENOLOL
CHEMBL547,ENSG00000077092,CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1,ISOTRETINOIN
CHEMBL547,ENSG00000131759,CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1,ISOTRETINOIN
CHEMBL547,ENSG00000172819,CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1,ISOTRETINOIN
CHEMBL550,ENSG00000133019,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,PILOCARPINE
CHEMBL550,ENSG00000168539,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,PILOCARPINE
CHEMBL557555,ENSG00000186951,CC(C)(Oc1ccc(C2CC2(Cl)Cl)cc1)C(=O)O,CIPROFIBRATE
CHEMBL558,ENSG00000169432,Cc1cccc(C)c1OCC(C)N,MEXILETINE
CHEMBL563,ENSG00000073756,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,FLURBIPROFEN
CHEMBL565,ENSG00000186951,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,CLOFIBRATE
CHEMBL569,ENSG00000169432,CCN(CC)CCOC(=O)c1ccc(N)cc1,PROCAINE
CHEMBL569713,ENSG00000168539,CN1[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,SCOPOLAMINE
CHEMBL571,ENSG00000073756,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,KETOPROFEN
CHEMBL58,ENSG00000131747,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,MITOXANTRONE
CHEMBL580,ENSG00000022355,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,LORAZEPAM
CHEMBL580,ENSG00000163285,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,LORAZEPAM
CHEMBL580,ENSG00000186297,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,LORAZEPAM
CHEMBL585,ENSG00000111319,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,TRIAMTERENE
CHEMBL594,ENSG00000196639,CCOCCn1c(N2CCCN(C)CC2)nc2ccccc21,EMEDASTINE
CHEMBL595,ENSG00000132170,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,PIOGLITAZONE
CHEMBL597,ENSG00000150594,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,PHENTOLAMINE
CHEMBL597,ENSG00000184160,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,PHENTOLAMINE
CHEMBL6,ENSG00000073756,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,INDOMETHACIN
CHEMBL601719,ENSG00000105976,C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,CRIZOTINIB
CHEMBL601719,ENSG00000171094,C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,CRIZOTINIB
CHEMBL601719,ENSG00000181163,C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,CRIZOTINIB
CHEMBL608,ENSG00000165029,CC(C)(Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,PROBUCOL
CHEMBL608533,ENSG00000027075,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,MIDOSTAURIN
CHEMBL608533,ENSG00000065675,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,MIDOSTAURIN
CHEMBL608533,ENSG00000067606,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,MIDOSTAURIN
CHEMBL608533,ENSG00000113721,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,MIDOSTAURIN
CHEMBL608533,ENSG00000115825,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,MIDOSTAURIN
CHEMBL608533,ENSG00000122025,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,MIDOSTAURIN
CHEMBL608533,ENSG00000126583,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,MIDOSTAURIN
CHEMBL608533,ENSG00000128052,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,MIDOSTAURIN
CHEMBL608533,ENSG00000134853,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,MIDOSTAURIN
CHEMBL608533,ENSG00000154229,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,MIDOSTAURIN
CHEMBL608533,ENSG00000157404,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,MIDOSTAURIN
CHEMBL608533,ENSG00000163558,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,MIDOSTAURIN
CHEMBL608533,ENSG00000163932,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,MIDOSTAURIN
CHEMBL608533,ENSG00000166501,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,MIDOSTAURIN
CHEMBL608533,ENSG00000171132,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,MIDOSTAURIN
CHEMBL608533,ENSG00000184304,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,MIDOSTAURIN
CHEMBL621,ENSG00000147246,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,TRAZODONE
CHEMBL622,ENSG00000073756,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,ETODOLAC
CHEMBL623,ENSG00000147246,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,NEFAZODONE
CHEMBL628,ENSG00000113448,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,PENTOXIFYLLINE
CHEMBL628,ENSG00000128271,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,PENTOXIFYLLINE
CHEMBL628,ENSG00000170425,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,PENTOXIFYLLINE
CHEMBL631,ENSG00000169252,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,PROPAFENONE
CHEMBL631,ENSG00000169432,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,PROPAFENONE
CHEMBL632,ENSG00000113580,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,BETAMETHASONE
CHEMBL639,ENSG00000196639,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,AZELASTINE
CHEMBL640,ENSG00000169432,CCN(CC)CCNC(=O)c1ccc(N)cc1,PROCAINAMIDE
CHEMBL643,ENSG00000196639,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,PROMETHAZINE
CHEMBL644,ENSG00000147246,CC(CN(C)C)CN1c2ccccc2CCc2ccccc21,TRIMIPRAMINE
CHEMBL644,ENSG00000196639,CC(CN(C)C)CN1c2ccccc2CCc2ccccc21,TRIMIPRAMINE
CHEMBL648,ENSG00000196639,CN1CCN(C(c2ccccc2)c2ccccc2)CC1,CYCLIZINE
CHEMBL650,ENSG00000113580,C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)CO)[C@@]2(C)C=CC(=O)C=C12,METHYLPREDNISOLONE
CHEMBL654,ENSG00000147246,CN1CCN2c3ncccc3Cc3ccccc3C2C1,MIRTAZAPINE
CHEMBL654,ENSG00000150594,CN1CCN2c3ncccc3Cc3ccccc3C2C1,MIRTAZAPINE
CHEMBL654,ENSG00000184160,CN1CCN2c3ncccc3Cc3ccccc3C2C1,MIRTAZAPINE
CHEMBL655,ENSG00000022355,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,MIDAZOLAM
CHEMBL655,ENSG00000163285,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,MIDAZOLAM
