pert_id,pert_iname,pert_type
TRCN0000262582,PHACTR1,trt_sh
TRCN0000262583,PHACTR1,trt_sh
TRCN0000262584,PHACTR1,trt_sh
TRCN0000002228,PIK3C2A,trt_sh
TRCN0000002229,PIK3C2A,trt_sh
TRCN0000002230,PIK3C2A,trt_sh
TRCN0000002231,PIK3C2A,trt_sh
TRCN0000002232,PIK3C2A,trt_sh
TRCN0000194763,PIK3C2A,trt_sh
TRCN0000194822,PIK3C2A,trt_sh
TRCN0000195283,PIK3C2A,trt_sh
TRCN0000196308,PIK3C2A,trt_sh
TRCN0000196363,PIK3C2A,trt_sh
TRCN0000196458,PIK3C2A,trt_sh
TRCN0000196636,PIK3C2A,trt_sh
TRCN0000199065,PIK3C2A,trt_sh
TRCN0000199468,PIK3C2A,trt_sh
TRCN0000052644,PRKRA,trt_sh
TRCN0000052645,PRKRA,trt_sh
TRCN0000052646,PRKRA,trt_sh
TRCN0000052647,PRKRA,trt_sh
TRCN0000174216,PRKRA,trt_sh
TRCN0000194656,PRKRA,trt_sh
TRCN0000194714,PRKRA,trt_sh
TRCN0000195388,PRKRA,trt_sh
TRCN0000195535,PRKRA,trt_sh
TRCN0000195550,PRKRA,trt_sh
TRCN0000196873,PRKRA,trt_sh
TRCN0000196895,PRKRA,trt_sh
TRCN0000001617,PTK2,trt_sh
TRCN0000001620,PTK2,trt_sh
TRCN0000121131,PTK2,trt_sh
TRCN0000121207,PTK2,trt_sh
TRCN0000121209,PTK2,trt_sh
TRCN0000121318,PTK2,trt_sh
TRCN0000121319,PTK2,trt_sh
TRCN0000121320,PTK2,trt_sh
TRCN0000121321,PTK2,trt_sh
TRCN0000194944,PTK2,trt_sh
TRCN0000194984,PTK2,trt_sh
TRCN0000195611,PTK2,trt_sh
TRCN0000196310,PTK2,trt_sh
TRCN0000344601,PTK2,trt_sh
TRCN0000138962,PTMS,trt_sh
TRCN0000139323,PTMS,trt_sh
TRCN0000139687,PTMS,trt_sh
TRCN0000140200,PTMS,trt_sh
TRCN0000140355,PTMS,trt_sh
TRCN0000140823,PTMS,trt_sh
TRCN0000144552,PTMS,trt_sh
TRCN0000144578,PTMS,trt_sh
TRCN0000144930,PTMS,trt_sh
TRCN0000002920,PTP4A1,trt_sh
TRCN0000002922,PTP4A1,trt_sh
